gen_exp,Firm Size & Scale,Revenue & Sales,Profitability & Margins,Cash Flow,Capital Structure,Capital Access,Share Repurchase & Dividend,Investment,Fiscal Policy,Monetary Policy,Unemployment,Inflation,GDP growth,Currency Exchange Rates,Geopolitical Risks,Industry Growth & Demand,Competitive Landscape,Industry Regulation & Policy,Technological Disruption,Industry Seasonality & Cyclicality,Production Efficiency,Innovation & R&D,Supply Chain,Customer Relation,Human resource management,Marketing Strategy & Effectiveness,Product Quality and positioning,New Product Launches,Brand & Reputation,Intellectual Property,Management Quality & Leadership,Firm Culture,Litigation & Legal Issues,Natural Disasters,Market Sentiment & Investor Perception,Sustainability & ESG Practices,Mergers & Acquisitions, Others
1,0.33266932270916333,0.8356573705179283,0.896414342629482,0.5338645418326693,0.6414342629482072,0.3286852589641434,0.48904382470119523,0.6185258964143426,0.3804780876494024,0.26693227091633465,0.08964143426294821,0.20119521912350596,0.45219123505976094,0.29880478087649404,0.22609561752988047,0.9123505976095617,0.8366533864541833,0.5029880478087649,0.30278884462151395,0.399402390438247,0.49203187250996017,0.35756972111553786,0.33266932270916333,0.34462151394422313,0.24701195219123506,0.46912350597609564,0.3844621513944223,0.2649402390438247,0.2300796812749004,0.08665338645418327,0.6683266932270916,0.026892430278884463,0.2241035856573705,0.1942231075697211,0.7151394422310757,0.03884462151394422,0.6235059760956175,0.38247011952191234
2,0.41684511063526053,0.8850820842255531,0.9307637401855817,0.6459671663097787,0.7030692362598144,0.4318344039971449,0.5767309064953604,0.7009279086366881,0.483226266952177,0.3454675231977159,0.10563882940756603,0.2698072805139186,0.5624553890078515,0.44254104211277656,0.31620271234832265,0.9243397573162027,0.8922198429693077,0.5931477516059958,0.4182726623840114,0.4939329050678087,0.6002855103497502,0.4603854389721627,0.4004282655246253,0.4489650249821556,0.32548179871520344,0.5538900785153462,0.47751605995717344,0.37972876516773735,0.2940756602426838,0.11777301927194861,0.7566024268379729,0.042826552462526764,0.3140613847251963,0.27123483226266953,0.8108493932905068,0.04568165596002855,0.728051391862955,0.47894361170592437
3,0.4511173184357542,0.8777932960893855,0.9266759776536313,0.6655027932960894,0.7318435754189944,0.4504189944134078,0.5998603351955307,0.7506983240223464,0.5321229050279329,0.35824022346368717,0.11731843575418995,0.3058659217877095,0.5768156424581006,0.4664804469273743,0.33868715083798884,0.9336592178770949,0.88268156424581,0.6417597765363129,0.43854748603351956,0.5104748603351955,0.6291899441340782,0.47416201117318435,0.4441340782122905,0.48393854748603354,0.3715083798882682,0.5761173184357542,0.5160614525139665,0.41620111731843573,0.3149441340782123,0.1473463687150838,0.7611731843575419,0.05097765363128492,0.35824022346368717,0.2842178770949721,0.8079608938547486,0.06564245810055866,0.74231843575419,0.513268156424581
4,0.4757142857142857,0.8871428571428571,0.9235714285714286,0.7128571428571429,0.7457142857142857,0.4807142857142857,0.6428571428571429,0.7571428571428571,0.5328571428571428,0.38857142857142857,0.125,0.30642857142857144,0.5721428571428572,0.46214285714285713,0.3407142857142857,0.9521428571428572,0.9,0.6385714285714286,0.46714285714285714,0.515,0.6342857142857142,0.49857142857142855,0.465,0.48714285714285716,0.4007142857142857,0.6028571428571429,0.5278571428571428,0.44,0.33071428571428574,0.16642857142857143,0.79,0.07428571428571429,0.37,0.30357142857142855,0.8442857142857143,0.06357142857142857,0.7664285714285715,0.5385714285714286
5,0.5055928411633109,0.9030574198359433,0.9351230425055929,0.7017151379567487,0.7509321401938852,0.49962714392244595,0.6621923937360179,0.7494407158836689,0.5585384041759881,0.4064131245339299,0.13348247576435496,0.31767337807606266,0.604772557792692,0.4891871737509321,0.3713646532438479,0.9403430275913497,0.9157345264727815,0.6547352721849367,0.4891871737509321,0.5458612975391499,0.6256524981357197,0.506338553318419,0.47129008202833705,0.522744220730798,0.4198359433258762,0.6174496644295302,0.5473527218493661,0.4519015659955257,0.34377330350484714,0.16927665920954513,0.7762863534675615,0.07084265473527218,0.4079045488441462,0.28933631618195377,0.8404175988068605,0.0686055182699478,0.7524235645041014,0.5622669649515287
6,0.5221238938053098,0.914722445695897,0.9340305711987128,0.7409493161705552,0.7747385358004827,0.5076427996781979,0.668543845534996,0.7803700724054706,0.5776347546259051,0.4432823813354787,0.1415929203539823,0.3467417538213998,0.6307320997586484,0.5341914722445696,0.40466613032984716,0.9460981496379727,0.912308930008045,0.6814159292035398,0.5317779565567177,0.5929203539823009,0.6629123089300081,0.5462590506838294,0.500402252614642,0.5390185036202735,0.4360418342719228,0.6427996781979083,0.587288817377313,0.47385358004827033,0.3805309734513274,0.18584070796460178,0.8069187449718423,0.08205953338696702,0.415929203539823,0.3266291230893001,0.8551890587288817,0.08608205953338696,0.7908286403861625,0.5703942075623492
7,0.5298701298701298,0.922943722943723,0.9515151515151515,0.7532467532467533,0.793073593073593,0.5333333333333333,0.6978354978354978,0.8008658008658008,0.6025974025974026,0.43116883116883115,0.15324675324675324,0.36103896103896105,0.6303030303030303,0.5359307359307359,0.3956709956709957,0.9549783549783549,0.9082251082251083,0.6909090909090909,0.5021645021645021,0.5636363636363636,0.6692640692640692,0.5281385281385281,0.4805194805194805,0.5445887445887446,0.4675324675324675,0.6467532467532467,0.5844155844155844,0.4753246753246753,0.3575757575757576,0.18354978354978355,0.8155844155844156,0.08831168831168831,0.45021645021645024,0.3367965367965368,0.8493506493506493,0.0761904761904762,0.8034632034632034,0.5766233766233766
8,0.5386792452830189,0.9047169811320754,0.9386792452830188,0.7594339622641509,0.7811320754716982,0.5009433962264151,0.6849056603773584,0.7688679245283019,0.5943396226415094,0.4386792452830189,0.16792452830188678,0.35566037735849054,0.6443396226415095,0.5235849056603774,0.389622641509434,0.9377358490566038,0.9141509433962264,0.6754716981132075,0.519811320754717,0.5641509433962264,0.6660377358490566,0.5320754716981132,0.4839622641509434,0.5537735849056604,0.44339622641509435,0.6518867924528302,0.5867924528301887,0.46320754716981133,0.37735849056603776,0.18867924528301888,0.8141509433962264,0.07830188679245283,0.4330188679245283,0.3433962264150943,0.8613207547169811,0.08584905660377358,0.7858490566037736,0.5886792452830188
9,0.5585215605749486,0.9127310061601642,0.9517453798767967,0.7659137577002053,0.8008213552361396,0.553388090349076,0.7002053388090349,0.7772073921971252,0.6293634496919918,0.46611909650924027,0.15195071868583163,0.3726899383983573,0.6611909650924025,0.5862422997946611,0.42813141683778233,0.9425051334702259,0.9188911704312115,0.7073921971252567,0.5256673511293635,0.5831622176591376,0.6796714579055442,0.5574948665297741,0.5390143737166324,0.5759753593429158,0.44969199178644764,0.6714579055441479,0.6149897330595483,0.5205338809034907,0.4055441478439425,0.1919917864476386,0.8347022587268994,0.09650924024640657,0.45687885010266943,0.3470225872689938,0.8542094455852156,0.08316221765913757,0.8182751540041068,0.6026694045174538
10,0.5484913793103449,0.9245689655172413,0.9439655172413793,0.7586206896551724,0.7931034482758621,0.5323275862068966,0.6907327586206896,0.7963362068965517,0.5948275862068966,0.4191810344827586,0.15517241379310345,0.3760775862068966,0.6530172413793104,0.5625,0.43103448275862066,0.9493534482758621,0.896551724137931,0.697198275862069,0.5237068965517241,0.5635775862068966,0.6767241379310345,0.5323275862068966,0.4838362068965517,0.5301724137931034,0.4665948275862069,0.6476293103448276,0.5765086206896551,0.5053879310344828,0.37823275862068967,0.1875,0.8168103448275862,0.08620689655172414,0.4558189655172414,0.3566810344827586,0.875,0.07435344827586207,0.8006465517241379,0.5915948275862069
